sw_latitude,sw_longitude,ne_latitude,ne_longitude,status
-1.15,51.45,-1.14,51.46,pending
-1.14,51.45,-1.13,51.46,pending
-1.13,51.45,-1.1199999999999999,51.46,pending
-1.1199999999999999,51.45,-1.1099999999999999,51.46,pending
-1.1099999999999999,51.45,-1.0999999999999999,51.46,pending
-1.0999999999999999,51.45,-1.0899999999999999,51.46,pending
-1.0899999999999999,51.45,-1.0799999999999998,51.46,pending
-1.0799999999999998,51.45,-1.0699999999999998,51.46,pending
-1.0699999999999998,51.45,-1.0599999999999998,51.46,pending
-1.0599999999999998,51.45,-1.0499999999999998,51.46,pending
-1.0499999999999998,51.45,-1.04,51.46,pending
-1.04,51.45,-1.03,51.46,pending
-1.03,51.45,-1.02,51.46,pending
-1.02,51.45,-1.01,51.46,pending
-1.01,51.45,-1.0,51.46,pending
-1.0,51.45,-0.99,51.46,pending
-0.99,51.45,-0.98,51.46,pending
-0.98,51.45,-0.97,51.46,pending
-0.97,51.45,-0.96,51.46,pending
-0.96,51.45,-0.95,51.46,pending
-0.95,51.45,-0.94,51.46,pending
-0.94,51.45,-0.9299999999999999,51.46,pending
-0.9299999999999999,51.45,-0.9199999999999999,51.46,pending
-0.9199999999999999,51.45,-0.9099999999999999,51.46,pending
-0.9099999999999999,51.45,-0.8999999999999999,51.46,pending
-0.8999999999999999,51.45,-0.8899999999999999,51.46,pending
-0.8899999999999999,51.45,-0.8799999999999999,51.46,pending
-0.8799999999999999,51.45,-0.8699999999999999,51.46,pending
-0.8699999999999999,51.45,-0.8599999999999999,51.46,pending
-0.8599999999999999,51.45,-0.85,51.46,pending
-1.15,51.46,-1.14,51.470000000000006,pending
-1.14,51.46,-1.13,51.470000000000006,pending
-1.13,51.46,-1.1199999999999999,51.470000000000006,pending
-1.1199999999999999,51.46,-1.1099999999999999,51.470000000000006,pending
-1.1099999999999999,51.46,-1.0999999999999999,51.470000000000006,pending
-1.0999999999999999,51.46,-1.0899999999999999,51.470000000000006,pending
-1.0899999999999999,51.46,-1.0799999999999998,51.470000000000006,pending
-1.0799999999999998,51.46,-1.0699999999999998,51.470000000000006,pending
-1.0699999999999998,51.46,-1.0599999999999998,51.470000000000006,pending
-1.0599999999999998,51.46,-1.0499999999999998,51.470000000000006,pending
-1.0499999999999998,51.46,-1.04,51.470000000000006,pending
-1.04,51.46,-1.03,51.470000000000006,pending
-1.03,51.46,-1.02,51.470000000000006,pending
-1.02,51.46,-1.01,51.470000000000006,pending
-1.01,51.46,-1.0,51.470000000000006,pending
-1.0,51.46,-0.99,51.470000000000006,pending
-0.99,51.46,-0.98,51.470000000000006,pending
-0.98,51.46,-0.97,51.470000000000006,pending
-0.97,51.46,-0.96,51.470000000000006,pending
-0.96,51.46,-0.95,51.470000000000006,pending
-0.95,51.46,-0.94,51.470000000000006,pending
-0.94,51.46,-0.9299999999999999,51.470000000000006,pending
-0.9299999999999999,51.46,-0.9199999999999999,51.470000000000006,pending
-0.9199999999999999,51.46,-0.9099999999999999,51.470000000000006,pending
-0.9099999999999999,51.46,-0.8999999999999999,51.470000000000006,pending
-0.8999999999999999,51.46,-0.8899999999999999,51.470000000000006,pending
-0.8899999999999999,51.46,-0.8799999999999999,51.470000000000006,pending
-0.8799999999999999,51.46,-0.8699999999999999,51.470000000000006,pending
-0.8699999999999999,51.46,-0.8599999999999999,51.470000000000006,pending
-0.8599999999999999,51.46,-0.85,51.470000000000006,pending
-1.15,51.470000000000006,-1.14,51.480000000000004,pending
-1.14,51.470000000000006,-1.13,51.480000000000004,pending
-1.13,51.470000000000006,-1.1199999999999999,51.480000000000004,pending
-1.1199999999999999,51.470000000000006,-1.1099999999999999,51.480000000000004,pending
-1.1099999999999999,51.470000000000006,-1.0999999999999999,51.480000000000004,pending
-1.0999999999999999,51.470000000000006,-1.0899999999999999,51.480000000000004,pending
-1.0899999999999999,51.470000000000006,-1.0799999999999998,51.480000000000004,pending
-1.0799999999999998,51.470000000000006,-1.0699999999999998,51.480000000000004,pending
-1.0699999999999998,51.470000000000006,-1.0599999999999998,51.480000000000004,pending
-1.0599999999999998,51.470000000000006,-1.0499999999999998,51.480000000000004,pending
-1.0499999999999998,51.470000000000006,-1.04,51.480000000000004,pending
-1.04,51.470000000000006,-1.03,51.480000000000004,pending
-1.03,51.470000000000006,-1.02,51.480000000000004,pending
-1.02,51.470000000000006,-1.01,51.480000000000004,pending
-1.01,51.470000000000006,-1.0,51.480000000000004,pending
-1.0,51.470000000000006,-0.99,51.480000000000004,pending
-0.99,51.470000000000006,-0.98,51.480000000000004,pending
-0.98,51.470000000000006,-0.97,51.480000000000004,pending
-0.97,51.470000000000006,-0.96,51.480000000000004,pending
-0.96,51.470000000000006,-0.95,51.480000000000004,pending
-0.95,51.470000000000006,-0.94,51.480000000000004,pending
-0.94,51.470000000000006,-0.9299999999999999,51.480000000000004,pending
-0.9299999999999999,51.470000000000006,-0.9199999999999999,51.480000000000004,pending
-0.9199999999999999,51.470000000000006,-0.9099999999999999,51.480000000000004,pending
-0.9099999999999999,51.470000000000006,-0.8999999999999999,51.480000000000004,pending
-0.8999999999999999,51.470000000000006,-0.8899999999999999,51.480000000000004,pending
-0.8899999999999999,51.470000000000006,-0.8799999999999999,51.480000000000004,pending
-0.8799999999999999,51.470000000000006,-0.8699999999999999,51.480000000000004,pending
-0.8699999999999999,51.470000000000006,-0.8599999999999999,51.480000000000004,pending
-0.8599999999999999,51.470000000000006,-0.85,51.480000000000004,pending
-1.15,51.480000000000004,-1.14,51.49,pending
